Year,Month,Month_Year,IndustryLvl1,IndustryLvl2,IndustryLvl3,IndustryLvl4,AFF2017,Region,Local_Government_District,Age,Age_Group,FocusArea1,FocusArea2,QuadBike,No_of_Fatalities
2010,9,01SEP2010,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Waikato,Thames-Coromandel,50,45-54,Forestry,Vehicles & Machinery,,1
2010,9,01SEP2010,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Canterbury,Mackenzie,40,35-44,Not a focus area,Other,,1
2010,9,01SEP2010,Construction,Construction Services,Building Structure Services,Roofing Services,Construction,Bay of Plenty,Rotorua,64,55-64,Construction,Fall from height,,1
2010,10,01OCT2010,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Waikato,Otorohanga,56,55-64,Agriculture,Vehicles & Machinery,Yes,1
2010,10,01OCT2010,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Waikato,Waikato,32,25-34,Not a focus area,Vehicles & Machinery,,1
2010,10,01OCT2010,Arts and Recreation Services,Sport and Recreation Activities,Horse and Dog Racing Activities,Other Horse and Dog Racing Activities,Arts and Recreation Services,Hawke's Bay,Hastings,37,35-44,Not a focus area,Animal,,1
2010,11,01NOV2010,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,West Coast,Buller,17,15-24,Agriculture,Vehicles & Machinery,Yes,1
2010,11,01NOV2010,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Otago,Clutha,59,55-64,Agriculture,Vehicles & Machinery,,1
2010,11,01NOV2010,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Waikato,Taupo,62,55-64,Not a focus area,Other,,1
2010,11,01NOV2010,Construction,Building Construction,Residential Building Construction,House Construction,Construction,Northland,Far North,54,45-54,Construction,Fall from height,,1
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,17,15-24,Extractives,Hazardous Substances,,1
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,21,15-24,Extractives,Hazardous Substances,,1
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,24,15-24,Extractives,Hazardous Substances,,1
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,25,25-34,Extractives,Hazardous Substances,,2
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,26,25-34,Extractives,Hazardous Substances,,1
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,27,25-34,Extractives,Hazardous Substances,,1
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,28,25-34,Extractives,Hazardous Substances,,2
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,31,25-34,Extractives,Hazardous Substances,,2
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,33,25-34,Extractives,Hazardous Substances,,2
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,34,25-34,Extractives,Hazardous Substances,,1
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,35,35-44,Extractives,Hazardous Substances,,1
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,36,35-44,Extractives,Hazardous Substances,,1
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,40,35-44,Extractives,Hazardous Substances,,1
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,41,35-44,Extractives,Hazardous Substances,,4
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,43,35-44,Extractives,Hazardous Substances,,1
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,45,45-54,Extractives,Hazardous Substances,,1
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,47,45-54,Extractives,Hazardous Substances,,1
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,49,45-54,Extractives,Hazardous Substances,,1
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,54,45-54,Extractives,Hazardous Substances,,1
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,55,55-64,Extractives,Hazardous Substances,,1
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,59,55-64,Extractives,Hazardous Substances,,1
2010,11,01NOV2010,Mining,Coal Mining,Coal Mining,Coal Mining,Mining,West Coast,Grey,62,55-64,Extractives,Hazardous Substances,,1
2010,11,01NOV2010,"Transport, Postal and Warehousing",Road Transport,Road Passenger Transport,Interurban and Rural Bus Transport,"Transport, Postal and Warehousing",Manawatu-Whanganui,Tararua,89,65 and over,Not a focus area,Vehicles & Machinery,,1
2010,12,01DEC2010,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Manawatu-Whanganui,Tararua,22,15-24,Agriculture,Vehicles & Machinery,,1
2010,12,01DEC2010,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Otago,Dunedin,62,55-64,Agriculture,Vehicles & Machinery,,1
2010,12,01DEC2010,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Southland,Gore,47,45-54,Agriculture,Vehicles & Machinery,,1
2010,12,01DEC2010,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Southland,Southland,23,15-24,Agriculture,Vehicles & Machinery,,1
2010,12,01DEC2010,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Gisborne,Gisborne,19,15-24,Forestry,Breaking Out,,1
2010,12,01DEC2010,"Electricity, Gas, Water and Waste Services",Electricity Supply,Electricity Distribution,Electricity Distribution,"Electricity, Gas, Water and Waste Services",Otago,Central Otago,63,55-64,Construction,Fall from height,,1
2011,1,01JAN2011,"Agriculture, Forestry and Fishing",Agriculture,Fruit and Tree Nut Growing,Other Fruit and Tree Nut Growing,Agriculture,Bay of Plenty,Western Bay of Plenty,66,65 and over,Agriculture,Fall from height,,1
2011,1,01JAN2011,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Southland,Southland,80,65 and over,Agriculture,Bodies of Water,,1
2011,1,01JAN2011,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Hawke's Bay,Wairoa,59,55-64,Agriculture,Vehicles & Machinery,Yes,1
2011,1,01JAN2011,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Waikato,Hamilton,28,25-34,Agriculture,Vehicles & Machinery,,1
2011,2,01FEB2011,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Northland,Kaipara,76,65 and over,Agriculture,Vehicles & Machinery,,1
2011,2,01FEB2011,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Marlborough,Marlborough,61,55-64,Forestry,Tree Felling,,1
2011,2,01FEB2011,Arts and Recreation Services,Sport and Recreation Activities,Sport and Physical Recreation Activities,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",Arts and Recreation Services,Auckland,Rodney,2,14 and under,Not a focus area,Bodies of Water,,1
2011,2,01FEB2011,"Electricity, Gas, Water and Waste Services",Electricity Supply,Electricity Generation,Hydro-electricity Generation,"Electricity, Gas, Water and Waste Services",Otago,Central Otago,28,25-34,Not a focus area,Bodies of Water,,1
2011,2,01FEB2011,Health Care and Social Assistance,Residential Care Services,Residential Care Services,Aged Care Residential Services,Health Care and Social Assistance,Northland,Whangarei,86,65 and over,Not a focus area,Fall from height,,1
